danceability,loudness,speechiness,acousticness,liveness,instrumentalness,type
0.655,-7.987999999999999,0.033,0.0347,0.271,0.897,1.0
0.47,-16.631,0.0365,0.94,0.115,0.807,1.0
0.705,-7.388,0.0283,0.684,0.107,0.919,1.0
0.636,-5.6370000000000005,0.0289,0.35700000000000004,0.324,0.382,1.0
0.284,-15.161,0.0586,0.8809999999999999,0.0753,0.000697,1.0
0.53,-12.291,0.0413,0.5870000000000001,0.102,0.846,1.0
0.613,-10.486,0.0579,0.5670000000000001,0.154,0.863,1.0
0.507,-16.632,0.0613,0.878,0.0894,0.8959999999999999,1.0
0.58,-10.545,0.0335,0.222,0.146,0.0027,1.0
0.86,-16.183,0.152,0.561,0.0814,0.913,1.0
0.634,-8.213,0.0327,0.67,0.147,0.826,1.0
0.633,-12.449000000000002,0.033,0.429,0.0869,0.928,1.0
0.629,-8.113999999999999,0.0289,0.35100000000000003,0.135,0.648,1.0
0.589,-8.121,0.0539,0.217,0.267,0.198,1.0
0.73,-8.786,0.124,0.201,0.885,0.905,1.0
0.6459999999999999,-10.488,0.0366,0.575,0.177,0.596,1.0
0.608,-9.456,0.0531,0.114,0.116,0.8390000000000001,1.0
0.665,-10.925999999999998,0.0523,0.166,0.0678,0.6920000000000001,1.0
0.622,-9.491,0.035,0.325,0.165,0.0035,1.0
0.7120000000000001,-10.187,0.0319,0.626,0.108,0.6970000000000001,1.0
0.779,-15.183,0.0744,0.97,0.0869,0.813,1.0
0.5529999999999999,-9.682,0.0288,0.223,0.191,0.94,1.0
0.565,-14.593,0.0297,0.745,0.133,0.598,1.0
0.644,-10.737,0.0286,0.00634,0.117,0.0103,1.0
0.679,-14.086,0.0532,0.962,0.108,0.877,1.0
0.7390000000000001,-11.563,0.0678,0.561,0.569,0.94,1.0
0.619,-9.708,0.0311,0.14800000000000002,0.325,0.184,1.0
0.779,-10.886,0.0478,0.5479999999999999,0.0973,0.898,1.0
0.606,-10.163,0.0436,0.545,0.106,0.804,1.0
0.6809999999999999,-8.123,0.116,0.897,0.108,0.921,1.0
0.537,-8.707,0.029,0.0389,0.114,0.863,1.0
0.586,-10.587,0.0281,0.435,0.457,0.0258,1.0
0.31,-9.344,0.0659,0.6729999999999999,0.344,0.6829999999999999,1.0
0.485,-11.533,0.0314,0.7659999999999999,0.179,0.0195,1.0
0.7290000000000001,-9.526,0.0417,0.434,0.133,0.809,1.0
0.598,-10.763,0.0273,0.117,0.131,5.34e-06,1.0
0.78,-6.8820000000000014,0.0443,0.157,0.0946,0.894,1.0
0.49,-11.902,0.0433,0.938,0.11,0.425,1.0
0.537,-10.562,0.0313,0.653,0.079,0.979,1.0
0.594,-12.275,0.0357,0.24,0.16699999999999998,0.324,1.0
0.762,-7.3039999999999985,0.0569,0.885,0.125,0.604,1.0
0.477,-8.356,0.0354,0.401,0.162,0.611,1.0
